Title;Link;Rating;Description;Price;Time
Wahid Biryani;/lucknow/wahid-biryani-1-aminabad/order?contextual_menu_params=eyJkaXNoX3NlYXJjaCI6eyJ0aXRsZSI6IkJlc3QgaW4gQ2hpY2tlbiIsImRpc2hfaWRzIjpbIjU1MjgwIl0sImN1aXNpbmVfaWRzIjpbXX19;3.6;Mughlai, Biryani, Kebab, Rolls, North Indian;₹250 for one;
Al Baike- Aminabad;/lucknow/al-baike-aminabad-aminabad/order?contextual_menu_params=eyJkaXNoX3NlYXJjaCI6eyJ0aXRsZSI6IkJlc3QgaW4gQ2hpY2tlbiIsImRpc2hfaWRzIjpbIjU1MjgwIl0sImN1aXNpbmVfaWRzIjpbXX19;3.9;North Indian, Fast Food, Burger;₹250 for one;
Behrouz Biryani;/lucknow/behrouz-biryani-hazratganj/order?contextual_menu_params=eyJkaXNoX3NlYXJjaCI6eyJ0aXRsZSI6IkJlc3QgaW4gQ2hpY2tlbiIsImRpc2hfaWRzIjpbIjU1MjgwIl0sImN1aXNpbmVfaWRzIjpbXX19;4.1;Biryani, Kebab, North Indian;₹250 for one;
Tanatan;/lucknow/tanatan-hazratganj/order?contextual_menu_params=eyJkaXNoX3NlYXJjaCI6eyJ0aXRsZSI6IkJlc3QgaW4gQ2hpY2tlbiIsImRpc2hfaWRzIjpbIjU1MjgwIl0sImN1aXNpbmVfaWRzIjpbXX19;4.0;North Indian, Lucknowi, Desserts, Beverages;₹250 for one;
Royal Cafe;/lucknow/royal-cafe-hazratganj/order?contextual_menu_params=eyJkaXNoX3NlYXJjaCI6eyJ0aXRsZSI6IkJlc3QgaW4gQ2hpY2tlbiIsImRpc2hfaWRzIjpbIjU1MjgwIl0sImN1aXNpbmVfaWRzIjpbXX19;4.1;North Indian, BBQ, Mughlai, Continental, Chinese, Fast Food, Desserts, Beverages;₹250 for one;
Biryani Blues;/lucknow/biryani-blues-hazratganj/order?contextual_menu_params=eyJkaXNoX3NlYXJjaCI6eyJ0aXRsZSI6IkJlc3QgaW4gQ2hpY2tlbiIsImRpc2hfaWRzIjpbIjU1MjgwIl0sImN1aXNpbmVfaWRzIjpbXX19;4.3;Biryani, Hyderabadi, Mughlai;₹250 for one;
The Cherry Tree Bakery & Cafe;/lucknow/the-cherry-tree-bakery-cafe-hazratganj/order?contextual_menu_params=eyJkaXNoX3NlYXJjaCI6eyJ0aXRsZSI6IkJlc3QgaW4gQ2hpY2tlbiIsImRpc2hfaWRzIjpbIjU1MjgwIl0sImN1aXNpbmVfaWRzIjpbXX19;4.1;Cafe, Bakery, Continental, Fast Food, Pizza, Desserts, Beverages;₹250 for one;
Pizza Hut;/lucknow/pizza-hut-husain-ganj/order?contextual_menu_params=eyJkaXNoX3NlYXJjaCI6eyJ0aXRsZSI6IkJlc3QgaW4gQ2hpY2tlbiIsImRpc2hfaWRzIjpbIjU1MjgwIl0sImN1aXNpbmVfaWRzIjpbXX19;3.8;Pizza, Pasta, Italian, Desserts, Beverages;₹250 for one;
Shariq Al - Baik;/lucknow/shariq-al-baik-chowk/order?contextual_menu_params=eyJkaXNoX3NlYXJjaCI6eyJ0aXRsZSI6IkJlc3QgaW4gQ2hpY2tlbiIsImRpc2hfaWRzIjpbIjU1MjgwIl0sImN1aXNpbmVfaWRzIjpbXX19;4.3;Roast Chicken, Lebanese, Burger, Fast Food;₹250 for one;
New Chik Chik Chicken Corner;/lucknow/new-chik-chik-chicken-corner-alambagh/order?contextual_menu_params=eyJkaXNoX3NlYXJjaCI6eyJ0aXRsZSI6IkJlc3QgaW4gQ2hpY2tlbiIsImRpc2hfaWRzIjpbIjU1MjgwIl0sImN1aXNpbmVfaWRzIjpbXX19;3.9;North Indian, Mughlai, Fast Food;₹250 for one;
Savour Port;/lucknow/savour-port-3-hazratganj/order?contextual_menu_params=eyJkaXNoX3NlYXJjaCI6eyJ0aXRsZSI6IkJlc3QgaW4gQ2hpY2tlbiIsImRpc2hfaWRzIjpbIjU1MjgwIl0sImN1aXNpbmVfaWRzIjpbXX19;4.2;North Indian, Chinese, Sandwich, Burger, Pizza, Beverages;₹250 for one;
Burger King;/lucknow/burger-king-hazratganj/order?contextual_menu_params=eyJkaXNoX3NlYXJjaCI6eyJ0aXRsZSI6IkJlc3QgaW4gQ2hpY2tlbiIsImRpc2hfaWRzIjpbIjU1MjgwIl0sImN1aXNpbmVfaWRzIjpbXX19;4.0;Burger, Fast Food, Desserts, Beverages;₹250 for one;
LunchBox - Meals and Thalis;/lucknow/lunchbox-meals-and-thalis-hazratganj/order?contextual_menu_params=eyJkaXNoX3NlYXJjaCI6eyJ0aXRsZSI6IkJlc3QgaW4gQ2hpY2tlbiIsImRpc2hfaWRzIjpbIjU1MjgwIl0sImN1aXNpbmVfaWRzIjpbXX19;4.2;North Indian, Biryani, Mughlai;₹200 for one;
Chinese Wok;/lucknow/chinese-wok-alambagh/order?contextual_menu_params=eyJkaXNoX3NlYXJjaCI6eyJ0aXRsZSI6IkJlc3QgaW4gQ2hpY2tlbiIsImRpc2hfaWRzIjpbIjU1MjgwIl0sImN1aXNpbmVfaWRzIjpbXX19;4.0;Chinese, Momos;₹200 for one;
Take Off Point;/lucknow/take-off-point-alambagh/order?contextual_menu_params=eyJkaXNoX3NlYXJjaCI6eyJ0aXRsZSI6IkJlc3QgaW4gQ2hpY2tlbiIsImRpc2hfaWRzIjpbIjU1MjgwIl0sImN1aXNpbmVfaWRzIjpbXX19;4.0;Chinese, Fast Food, North Indian, Biryani, Mughlai, Beverages;₹200 for one;
Zayka By TGR;/lucknow/zayka-by-tgr-1-husain-ganj/order?contextual_menu_params=eyJkaXNoX3NlYXJjaCI6eyJ0aXRsZSI6IkJlc3QgaW4gQ2hpY2tlbiIsImRpc2hfaWRzIjpbIjU1MjgwIl0sImN1aXNpbmVfaWRzIjpbXX19;4.1;Lucknowi, Mughlai;₹200 for one;
Al Laziz Biryani;/lucknow/al-laziz-biryani-aminabad/order?contextual_menu_params=eyJkaXNoX3NlYXJjaCI6eyJ0aXRsZSI6IkJlc3QgaW4gQ2hpY2tlbiIsImRpc2hfaWRzIjpbIjU1MjgwIl0sImN1aXNpbmVfaWRzIjpbXX19;4.0;Lucknowi, Mughlai, Biryani, Kebab;₹200 for one;
Arabesca - Indo Arabic Restaurant;/lucknow/arabesca-indo-arabic-restaurant-kaiserbagh/order?contextual_menu_params=eyJkaXNoX3NlYXJjaCI6eyJ0aXRsZSI6IkJlc3QgaW4gQ2hpY2tlbiIsImRpc2hfaWRzIjpbIjU1MjgwIl0sImN1aXNpbmVfaWRzIjpbXX19;4.1;North Indian, Arabian, Mandi, Biryani, Desserts, Mughlai;₹200 for one;
Tobo Meals;/lucknow/tobo-meals-charbagh/order?contextual_menu_params=eyJkaXNoX3NlYXJjaCI6eyJ0aXRsZSI6IkJlc3QgaW4gQ2hpY2tlbiIsImRpc2hfaWRzIjpbIjU1MjgwIl0sImN1aXNpbmVfaWRzIjpbXX19;4.0;North Indian;₹200 for one;
Mama Mutton;/lucknow/mama-mutton-alambagh/order?contextual_menu_params=eyJkaXNoX3NlYXJjaCI6eyJ0aXRsZSI6IkJlc3QgaW4gQ2hpY2tlbiIsImRpc2hfaWRzIjpbIjU1MjgwIl0sImN1aXNpbmVfaWRzIjpbXX19;4.0;North Indian, Mughlai, Biryani, Rolls, Seafood;₹200 for one;
Aryan Family’s Delight;/lucknow/aryan-familys-delight-1-alambagh/order?contextual_menu_params=eyJkaXNoX3NlYXJjaCI6eyJ0aXRsZSI6IkJlc3QgaW4gQ2hpY2tlbiIsImRpc2hfaWRzIjpbIjU1MjgwIl0sImN1aXNpbmVfaWRzIjpbXX19;4.1;North Indian, Mughlai, Chinese, Awadhi;₹200 for one;
Mirage The Lounge;/lucknow/mirage-the-lounge-1-hazratganj/order?contextual_menu_params=eyJkaXNoX3NlYXJjaCI6eyJ0aXRsZSI6IkJlc3QgaW4gQ2hpY2tlbiIsImRpc2hfaWRzIjpbIjU1MjgwIl0sImN1aXNpbmVfaWRzIjpbXX19;4.0;Continental, Italian, Chinese, Ice Cream, Shake, Beverages;₹200 for one;
